Date,"Time, ADT",TempC(-30cm),TempC(-250cm),"Water Level, m"
4/25/2012,8:00:00,0.163,2.517,2.652
4/25/2012,9:00:00,0.163,2.517,2.655
4/25/2012,10:00:00,0.163,2.517,2.649
4/25/2012,11:00:00,0.163,2.517,2.652
4/25/2012,12:00:00,0.163,2.517,2.652
4/25/2012,13:00:00,0.163,2.517,2.652
4/25/2012,14:00:00,0.163,2.517,2.654
4/25/2012,15:00:00,0.19,2.517,2.648
4/25/2012,16:00:00,0.163,2.517,2.654
4/25/2012,17:00:00,0.163,2.517,2.654
4/25/2012,18:00:00,0.163,2.517,2.648
4/25/2012,19:00:00,0.163,2.517,2.651
4/25/2012,20:00:00,0.163,2.517,2.653
4/25/2012,21:00:00,0.163,2.517,2.653
4/25/2012,22:00:00,0.163,2.517,2.653
4/25/2012,23:00:00,0.163,2.517,2.651
4/26/2012,0:00:00,0.163,2.517,2.653
4/26/2012,1:00:00,0.163,2.517,2.65
4/26/2012,2:00:00,0.163,2.517,2.651
4/26/2012,3:00:00,0.163,2.517,2.651
4/26/2012,4:00:00,0.163,2.517,2.648
4/26/2012,5:00:00,0.163,2.517,2.651
4/26/2012,6:00:00,0.19,2.517,2.651
4/26/2012,7:00:00,0.163,2.517,2.651
4/26/2012,8:00:00,0.163,2.517,2.649
4/26/2012,9:00:00,0.163,2.517,2.65
4/26/2012,10:00:00,0.163,2.517,2.652
4/26/2012,11:00:00,0.163,2.517,2.65
4/26/2012,12:00:00,0.163,2.517,2.646
4/26/2012,13:00:00,0.163,2.517,2.654
4/26/2012,14:00:00,0.163,2.517,2.655
4/26/2012,15:00:00,0.163,2.517,2.653
4/26/2012,16:00:00,0.163,2.517,2.652
4/26/2012,17:00:00,0.163,2.517,2.651
4/26/2012,18:00:00,0.163,2.517,2.65
4/26/2012,19:00:00,0.163,2.517,2.648
4/26/2012,20:00:00,0.163,2.517,2.651
4/26/2012,21:00:00,0.163,2.517,2.65
4/26/2012,22:00:00,0.163,2.517,2.654
4/26/2012,23:00:00,0.163,2.517,2.65
4/27/2012,0:00:00,0.163,2.517,2.648
4/27/2012,1:00:00,0.19,2.517,2.65
4/27/2012,2:00:00,0.163,2.517,2.649
4/27/2012,3:00:00,0.163,2.517,2.649
4/27/2012,4:00:00,0.163,2.517,2.648
4/27/2012,5:00:00,0.163,2.517,2.652
4/27/2012,6:00:00,0.163,2.517,2.649
4/27/2012,7:00:00,0.163,2.517,2.65
4/27/2012,8:00:00,0.163,2.517,2.647
4/27/2012,9:00:00,0.163,2.517,2.652
4/27/2012,10:00:00,0.163,2.517,2.649
4/27/2012,11:00:00,0.163,2.517,2.65
4/27/2012,12:00:00,0.163,2.517,2.653
4/27/2012,13:00:00,0.163,2.517,2.652
4/27/2012,14:00:00,0.163,2.517,2.653
4/27/2012,15:00:00,0.163,2.517,2.651
4/27/2012,16:00:00,0.163,2.517,2.652
4/27/2012,17:00:00,0.163,2.517,2.652
4/27/2012,18:00:00,0.163,2.517,2.65
4/27/2012,19:00:00,0.163,2.517,2.649
4/27/2012,20:00:00,0.163,2.517,2.65
4/27/2012,21:00:00,0.163,2.517,2.651
4/27/2012,22:00:00,0.163,2.517,2.652
4/27/2012,23:00:00,0.163,2.517,2.653
4/28/2012,0:00:00,0.163,2.517,2.65
4/28/2012,1:00:00,0.163,2.517,2.649
4/28/2012,2:00:00,0.163,2.517,2.648
4/28/2012,3:00:00,0.163,2.517,2.649
4/28/2012,4:00:00,0.163,2.517,2.65
4/28/2012,5:00:00,0.163,2.517,2.647
4/28/2012,6:00:00,0.163,2.517,2.65
4/28/2012,7:00:00,0.163,2.517,2.651
4/28/2012,8:00:00,0.163,2.517,2.654
4/28/2012,9:00:00,0.163,2.517,2.655
4/28/2012,10:00:00,0.163,2.517,2.653
4/28/2012,11:00:00,0.163,2.517,2.653
4/28/2012,12:00:00,0.163,2.517,2.656
4/28/2012,13:00:00,0.163,2.517,2.656
4/28/2012,14:00:00,0.163,2.517,2.658
4/28/2012,15:00:00,0.163,2.517,2.655
4/28/2012,16:00:00,0.163,2.517,2.653
4/28/2012,17:00:00,0.163,2.517,2.652
4/28/2012,18:00:00,0.163,2.517,2.651
4/28/2012,19:00:00,0.163,2.517,2.654
4/28/2012,20:00:00,0.163,2.517,2.655
4/28/2012,21:00:00,0.163,2.517,2.652
4/28/2012,22:00:00,0.163,2.517,2.657
4/28/2012,23:00:00,0.163,2.517,2.655
4/29/2012,0:00:00,0.163,2.517,2.655
4/29/2012,1:00:00,0.163,2.517,2.655
4/29/2012,2:00:00,0.163,2.517,2.656
4/29/2012,3:00:00,0.163,2.517,2.654
4/29/2012,4:00:00,0.163,2.517,2.656
4/29/2012,5:00:00,0.163,2.517,2.655
4/29/2012,6:00:00,0.163,2.517,2.657
4/29/2012,7:00:00,0.163,2.517,2.658
4/29/2012,8:00:00,0.163,2.517,2.656
4/29/2012,9:00:00,0.163,2.517,2.657
4/29/2012,10:00:00,0.163,2.517,2.655
4/29/2012,11:00:00,0.163,2.517,2.658
4/29/2012,12:00:00,0.163,2.517,2.659
4/29/2012,13:00:00,0.163,2.517,2.658
4/29/2012,14:00:00,0.163,2.517,2.659
4/29/2012,15:00:00,0.163,2.517,2.656
4/29/2012,16:00:00,0.163,2.517,2.654
4/29/2012,17:00:00,0.163,2.517,2.654
4/29/2012,18:00:00,0.163,2.517,2.652
4/29/2012,19:00:00,0.163,2.517,2.656
4/29/2012,20:00:00,0.163,2.517,2.656
4/29/2012,21:00:00,0.163,2.517,2.655
4/29/2012,22:00:00,0.163,2.517,2.655
4/29/2012,23:00:00,0.163,2.517,2.656
4/30/2012,0:00:00,0.163,2.517,2.656
4/30/2012,1:00:00,0.163,2.517,2.657
4/30/2012,2:00:00,0.163,2.517,2.653
4/30/2012,3:00:00,0.163,2.517,2.654
4/30/2012,4:00:00,0.135,2.517,2.654
4/30/2012,5:00:00,0.163,2.517,2.654
4/30/2012,6:00:00,0.163,2.517,2.656
4/30/2012,7:00:00,0.163,2.517,2.654
4/30/2012,8:00:00,0.163,2.517,2.656
4/30/2012,9:00:00,0.163,2.517,2.656
4/30/2012,10:00:00,0.163,2.517,2.656
4/30/2012,11:00:00,0.163,2.517,2.655
4/30/2012,12:00:00,0.163,2.517,2.656
4/30/2012,13:00:00,0.163,2.517,2.655
4/30/2012,14:00:00,0.163,2.517,2.657
4/30/2012,15:00:00,0.163,2.517,2.659
4/30/2012,16:00:00,0.163,2.517,2.656
4/30/2012,17:00:00,0.163,2.517,2.657
4/30/2012,18:00:00,0.163,2.517,2.655
4/30/2012,19:00:00,0.163,2.517,2.657
4/30/2012,20:00:00,0.163,2.517,2.655
4/30/2012,21:00:00,0.163,2.517,2.654
4/30/2012,22:00:00,0.163,2.517,2.655
4/30/2012,23:00:00,0.163,2.517,2.654
5/1/2012,0:00:00,0.163,2.517,2.655
5/1/2012,1:00:00,0.135,2.517,2.655
5/1/2012,2:00:00,0.163,2.517,2.655
5/1/2012,3:00:00,0.163,2.517,2.654
5/1/2012,4:00:00,0.163,2.517,2.653
5/1/2012,5:00:00,0.163,2.517,2.655
5/1/2012,6:00:00,0.163,2.517,2.653
5/1/2012,7:00:00,0.163,2.517,2.654
5/1/2012,8:00:00,0.163,2.517,2.658
5/1/2012,9:00:00,0.163,2.517,2.659
5/1/2012,10:00:00,0.163,2.517,2.655
5/1/2012,11:00:00,0.163,2.517,2.656
5/1/2012,12:00:00,0.163,2.517,2.655
5/1/2012,13:00:00,0.163,2.517,2.655
5/1/2012,14:00:00,0.163,2.517,2.657
5/1/2012,15:00:00,0.163,2.517,2.66
5/1/2012,16:00:00,0.163,2.517,2.657
5/1/2012,17:00:00,0.163,2.517,2.656
5/1/2012,18:00:00,0.163,2.517,2.655
5/1/2012,19:00:00,0.163,2.517,2.657
5/1/2012,20:00:00,0.163,2.517,2.659
5/1/2012,21:00:00,0.163,2.517,2.654
5/1/2012,22:00:00,0.163,2.517,2.659
5/1/2012,23:00:00,0.163,2.517,2.657
5/2/2012,0:00:00,0.163,2.517,2.653
5/2/2012,1:00:00,0.163,2.517,2.652
5/2/2012,2:00:00,0.163,2.517,2.651
5/2/2012,3:00:00,0.163,2.517,2.653
5/2/2012,4:00:00,0.163,2.517,2.653
5/2/2012,5:00:00,0.163,2.41,2.651
5/2/2012,6:00:00,0.135,2.517,2.653
5/2/2012,7:00:00,0.163,2.517,2.653
5/2/2012,8:00:00,0.135,2.41,2.656
5/2/2012,9:00:00,0.135,2.41,2.658
5/2/2012,10:00:00,0.163,2.41,2.654
5/2/2012,11:00:00,0.163,2.517,2.66
5/2/2012,12:00:00,0.135,2.41,2.659
5/2/2012,13:00:00,0.135,2.41,2.659
5/2/2012,14:00:00,0.163,2.41,2.66
5/2/2012,15:00:00,0.163,2.41,2.661
5/2/2012,16:00:00,0.163,2.41,2.66
5/2/2012,17:00:00,0.135,2.41,2.66
5/2/2012,18:00:00,0.163,2.41,2.659
5/2/2012,19:00:00,0.135,2.41,2.659
5/2/2012,20:00:00,0.163,2.41,2.656
5/2/2012,21:00:00,0.163,2.41,2.657
5/2/2012,22:00:00,0.163,2.41,2.66
5/2/2012,23:00:00,0.163,2.41,2.656
5/3/2012,0:00:00,0.163,2.41,2.655
5/3/2012,1:00:00,0.135,2.41,2.653
5/3/2012,2:00:00,0.135,2.41,2.652
5/3/2012,3:00:00,0.163,2.41,2.651
5/3/2012,4:00:00,0.135,2.41,2.656
5/3/2012,5:00:00,0.135,2.41,2.651
5/3/2012,6:00:00,0.163,2.41,2.65
5/3/2012,7:00:00,0.135,2.41,2.652
5/3/2012,8:00:00,0.163,2.41,2.656
5/3/2012,9:00:00,0.163,2.41,2.658
5/3/2012,10:00:00,0.135,2.41,2.66
5/3/2012,11:00:00,0.163,2.41,2.658
5/3/2012,12:00:00,0.135,2.41,2.659
5/3/2012,13:00:00,0.163,2.41,2.66
5/3/2012,14:00:00,0.135,2.41,2.662
5/3/2012,15:00:00,0.135,2.41,2.662
5/3/2012,16:00:00,0.135,2.41,2.662
5/3/2012,17:00:00,0.163,2.41,2.662
5/3/2012,18:00:00,0.163,2.41,2.665
5/3/2012,19:00:00,0.135,2.41,2.665
5/3/2012,20:00:00,0.135,2.41,2.666
5/3/2012,21:00:00,0.163,2.41,2.669
5/3/2012,22:00:00,0.135,2.41,2.668
5/3/2012,23:00:00,0.163,2.41,2.67
5/4/2012,0:00:00,0.135,2.41,2.668
5/4/2012,1:00:00,0.135,2.41,2.671
5/4/2012,2:00:00,0.135,2.41,2.668
5/4/2012,3:00:00,0.135,2.41,2.667
5/4/2012,4:00:00,0.163,2.41,2.67
5/4/2012,5:00:00,0.135,2.41,2.67
5/4/2012,6:00:00,0.135,2.41,2.668
5/4/2012,7:00:00,0.135,2.41,2.67
5/4/2012,8:00:00,0.135,2.41,2.667
5/4/2012,9:00:00,0.135,2.41,2.669
5/4/2012,10:00:00,0.135,2.41,2.671
5/4/2012,11:00:00,0.135,2.41,2.671
5/4/2012,12:00:00,0.135,2.41,2.671
5/4/2012,13:00:00,0.135,2.41,2.672
5/4/2012,14:00:00,0.135,2.41,2.668
5/4/2012,15:00:00,0.135,2.41,2.67
5/4/2012,16:00:00,0.163,2.41,2.669
5/4/2012,17:00:00,0.135,2.41,2.666
5/4/2012,18:00:00,0.135,2.41,2.665
5/4/2012,19:00:00,0.135,2.41,2.668
5/4/2012,20:00:00,0.163,2.41,2.665
5/4/2012,21:00:00,0.135,2.41,2.67
5/4/2012,22:00:00,0.135,2.41,2.667
5/4/2012,23:00:00,0.135,2.41,2.665
5/5/2012,0:00:00,0.135,2.41,2.665
5/5/2012,1:00:00,0.135,2.41,2.664
